Port1; Paket_No; Gonderme_Zamani; Basinc; Yukseklik; Inis_Hizi; Sicaklik; Pil_Gerilimi; RPM; GPS_Long; GPS_Lat; Pitch; Roll; Yaw; Donus_Sayisi; Takim_No; Statu
; 5372; 18.07.2020 02:58:09; 1006,14; 59,39; 3657; 27,59; 457; 34; 37; 41; 1,17; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 02:58:05; 1006,14; 59,38; 3657; 27,59; 457; 34; 37; 41; 1,33; 365; 0,28; 315; 55502; Beklemede
; 5372; 18.07.2020 02:58:02; 1006,13; 59,52; 3657; 27,59; 457; 34; 37; 41; 1,33; 365; 0,48; 315; 55502; Beklemede
; 5372; 18.07.2020 02:57:59; 1006,12; 59,47; 3657; 27,59; 457; 34; 37; 41; 1,35; 365; 0,25; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:13; 1006,13; 59,47; 3657; 27,54; 457; 34; 37; 41; 1,36; 365; 0,5; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:10; 1006,18; 59,06; 3657; 27,55; 457; 34; 37; 41; 1,34; 365; 0,37; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:07; 1006,12; 59,53; 3657; 27,55; 457; 34; 37; 41; 1,39; 365; 0,39; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:04; 1006,14; 59,36; 3657; 27,56; 457; 34; 37; 41; 1,28; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:01; 1006,12; 59,5; 3657; 27,56; 457; 34; 37; 41; 1,21; 365; 0,35; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:57; 1006,15; 59,26; 3657; 27,56; 457; 34; 37; 41; 1,35; 365; 0,39; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:55; 1006,16; 59,23; 3657; 27,56; 457; 34; 37; 41; 1,34; 365; 0,45; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:51; 1006,18; 59; 3657; 27,56; 457; 34; 37; 41; 1,4; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:49; 1006,14; 59,4; 3657; 27,55; 457; 34; 37; 41; 1,21; 365; 0,45; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:45; 1006,15; 59,26; 3657; 27,56; 457; 34; 37; 41; 1,31; 365; 0,46; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:42; 1006,17; 59,09; 3657; 27,56; 457; 34; 37; 41; 1,34; 365; 0,52; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:39; 1006,16; 59,24; 3657; 27,56; 457; 34; 37; 41; 1,32; 365; 0,34; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:36; 1006,16; 59,18; 3657; 27,56; 457; 34; 37; 41; 1,42; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:33; 1006,14; 59,35; 3657; 27,56; 457; 34; 37; 41; 1,41; 365; 0,33; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:29; 1006,12; 59,53; 3657; 27,56; 457; 34; 37; 41; 1,31; 365; 0,31; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:27; 1006,16; 59,17; 3657; 27,55; 457; 34; 37; 41; 1,22; 365; 0,5; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:23; 1006,14; 59,35; 3657; 27,55; 457; 34; 37; 41; 1,24; 365; 0,29; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:20; 1006,13; 59,41; 3657; 27,55; 457; 34; 37; 41; 1,23; 365; 0,48; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:17; 1006,15; 59,28; 3657; 27,55; 457; 34; 37; 41; 1,25; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:14; 1006,14; 59,41; 3657; 27,55; 457; 34; 37; 41; 1,23; 365; 0,38; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:11; 1006,16; 59,2; 3657; 27,55; 457; 34; 37; 41; 1,4; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:08; 1006,16; 59,2; 3657; 27,55; 457; 34; 37; 41; 1,36; 365; 0,25; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:05; 1006,14; 59,33; 3657; 27,55; 457; 34; 37; 41; 1,33; 365; 0,36; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:01; 1006,13; 59,43; 3657; 27,54; 457; 34; 37; 41; 1,37; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:05:59; 1006,15; 59,32; 3657; 27,55; 457; 34; 37; 41; 1,3; 365; 0,33; 315; 55502; Beklemede
; 5372; 18.07.2020 02:58:09; 1006,14; 59,39; 3657; 27,59; 457; 34; 37; 41; 1,17; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 02:58:05; 1006,14; 59,38; 3657; 27,59; 457; 34; 37; 41; 1,33; 365; 0,28; 315; 55502; Beklemede
; 5372; 18.07.2020 02:58:02; 1006,13; 59,52; 3657; 27,59; 457; 34; 37; 41; 1,33; 365; 0,48; 315; 55502; Beklemede
; 5372; 18.07.2020 02:57:59; 1006,12; 59,47; 3657; 27,59; 457; 34; 37; 41; 1,35; 365; 0,25; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:36; 1006,12; 59,5; 3657; 27,5; 457; 34; 37; 41; 1,18; 365; 0,4; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:33; 1006,15; 59,41; 3657; 27,5; 457; 34; 37; 41; 1,37; 365; 0,5; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:30; 1006,13; 59,39; 3657; 27,5; 457; 34; 37; 41; 1,34; 365; 0,21; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:27; 1006,09; 59,36; 3657; 27,48; 457; 34; 37; 41; 1,26; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:24; 1006,13; 59,56; 3657; 27,49; 457; 34; 37; 41; 1,3; 365; 0,53; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:20; 1006,14; 59,7; 3657; 27,49; 457; 34; 37; 41; 1,26; 365; 0,39; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:17; 1006,11; 59,56; 3657; 27,49; 457; 34; 37; 41; 1,37; 365; 0,36; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:14; 1006,09; 59,42; 3657; 27,49; 457; 34; 37; 41; 1,3; 365; 0,46; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:11; 1006,14; 59,32; 3657; 27,5; 457; 34; 37; 41; 1,39; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:08; 1006,16; 59,3; 3657; 27,5; 457; 34; 37; 41; 1,32; 365; 0,41; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:05; 1006,14; 59,2; 3657; 27,5; 457; 34; 37; 41; 1,25; 365; 0,34; 315; 55502; Beklemede
; 5372; 18.07.2020 03:13:02; 1006,12; 59,17; 3657; 27,5; 457; 34; 37; 41; 1,19; 365; 0,34; 315; 55502; Beklemede
; 5372; 18.07.2020 03:12:59; 1006,13; 59,48; 3657; 27,51; 457; 34; 37; 41; 1,29; 365; 0,41; 315; 55502; Beklemede
; 5372; 18.07.2020 03:12:55; 1006,12; 59,47; 3657; 27,51; 457; 34; 37; 41; 1,37; 365; 0,34; 315; 55502; Beklemede
; 5372; 18.07.2020 03:12:52; 1006,11; 59,44; 3657; 27,51; 457; 34; 37; 41; 1,29; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:12:49; 1006,1; 59,64; 3657; 27,51; 457; 34; 37; 41; 1,24; 365; 0,41; 315; 55502; Beklemede
; 5372; 18.07.2020 03:12:46; 1006,1; 59,74; 3657; 27,51; 457; 34; 37; 41; 1,29; 365; 0,57; 315; 55502; Beklemede
; 5372; 18.07.2020 03:12:43; 1006,13; 59,46; 3657; 27,51; 457; 34; 37; 41; 1,42; 365; 0,36; 315; 55502; Beklemede
; 5372; 18.07.2020 03:12:40; 1006,11; 59,63; 3657; 27,51; 457; 34; 37; 41; 1,35; 365; 0,48; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:13; 1006,13; 59,47; 3657; 27,54; 457; 34; 37; 41; 1,36; 365; 0,5; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:10; 1006,18; 59,06; 3657; 27,55; 457; 34; 37; 41; 1,34; 365; 0,37; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:07; 1006,12; 59,53; 3657; 27,55; 457; 34; 37; 41; 1,39; 365; 0,39; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:04; 1006,14; 59,36; 3657; 27,56; 457; 34; 37; 41; 1,28; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:07:01; 1006,12; 59,5; 3657; 27,56; 457; 34; 37; 41; 1,21; 365; 0,35; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:57; 1006,15; 59,26; 3657; 27,56; 457; 34; 37; 41; 1,35; 365; 0,39; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:55; 1006,16; 59,23; 3657; 27,56; 457; 34; 37; 41; 1,34; 365; 0,45; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:51; 1006,18; 59; 3657; 27,56; 457; 34; 37; 41; 1,4; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:49; 1006,14; 59,4; 3657; 27,55; 457; 34; 37; 41; 1,21; 365; 0,45; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:45; 1006,15; 59,26; 3657; 27,56; 457; 34; 37; 41; 1,31; 365; 0,46; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:42; 1006,17; 59,09; 3657; 27,56; 457; 34; 37; 41; 1,34; 365; 0,52; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:39; 1006,16; 59,24; 3657; 27,56; 457; 34; 37; 41; 1,32; 365; 0,34; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:36; 1006,16; 59,18; 3657; 27,56; 457; 34; 37; 41; 1,42; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:33; 1006,14; 59,35; 3657; 27,56; 457; 34; 37; 41; 1,41; 365; 0,33; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:29; 1006,12; 59,53; 3657; 27,56; 457; 34; 37; 41; 1,31; 365; 0,31; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:27; 1006,16; 59,17; 3657; 27,55; 457; 34; 37; 41; 1,22; 365; 0,5; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:23; 1006,14; 59,35; 3657; 27,55; 457; 34; 37; 41; 1,24; 365; 0,29; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:20; 1006,13; 59,41; 3657; 27,55; 457; 34; 37; 41; 1,23; 365; 0,48; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:17; 1006,15; 59,28; 3657; 27,55; 457; 34; 37; 41; 1,25; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:14; 1006,14; 59,41; 3657; 27,55; 457; 34; 37; 41; 1,23; 365; 0,38; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:11; 1006,16; 59,2; 3657; 27,55; 457; 34; 37; 41; 1,4; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:08; 1006,16; 59,2; 3657; 27,55; 457; 34; 37; 41; 1,36; 365; 0,25; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:05; 1006,14; 59,33; 3657; 27,55; 457; 34; 37; 41; 1,33; 365; 0,36; 315; 55502; Beklemede
; 5372; 18.07.2020 03:06:01; 1006,13; 59,43; 3657; 27,54; 457; 34; 37; 41; 1,37; 365; 0,44; 315; 55502; Beklemede
; 5372; 18.07.2020 03:05:59; 1006,15; 59,32; 3657; 27,55; 457; 34; 37; 41; 1,3; 365; 0,33; 315; 55502; Beklemede
; 5372; 18.07.2020 02:58:09; 1006,14; 59,39; 3657; 27,59; 457; 34; 37; 41; 1,17; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 02:58:05; 1006,14; 59,38; 3657; 27,59; 457; 34; 37; 41; 1,33; 365; 0,28; 315; 55502; Beklemede
; 5372; 18.07.2020 02:58:02; 1006,13; 59,52; 3657; 27,59; 457; 34; 37; 41; 1,33; 365; 0,48; 315; 55502; Beklemede
; 5372; 18.07.2020 02:57:59; 1006,12; 59,47; 3657; 27,59; 457; 34; 37; 41; 1,35; 365; 0,25; 315; 55502; Beklemede
; 5; 18.07.2020 03:22:31; 1006,19; 58,95; 3657; 27,4; 457; 34; 37; 41; 1,38; 365; 0,46; 315; 55502; Beklemede
; 4; 18.07.2020 03:22:28; 1006,16; 59,24; 3657; 27,4; 457; 34; 37; 41; 1,32; 365; 0,47; 315; 55502; Beklemede
; 3; 18.07.2020 03:22:25; 1006,19; 58,91; 3657; 27,41; 457; 34; 37; 41; 1,29; 365; 0,41; 315; 55502; Beklemede
; 2; 18.07.2020 03:22:22; 1006,16; 59,18; 3657; 27,4; 457; 34; 37; 41; 1,18; 365; 0,45; 315; 55502; Beklemede
; 5372; 18.07.2020 03:15:37; 1006,15; 59,31; 3657; 27,43; 457; 34; 37; 41; 1,25; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 03:15:34; 1006,13; 59,42; 3657; 27,42; 457; 34; 37; 41; 1,36; 365; 0,42; 315; 55502; Beklemede
; 5372; 18.07.2020 03:15:31; 1006,13; 59,41; 3657; 27,42; 457; 34; 37; 41; 1,35; 365; 0,45; 315; 55502; Beklemede
